,Player,Team,Opp,Pos,Pass Att,Pass Comp,Pass Yards,Pass TD,Int,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Rush Rec TD,Ceiling100,LastUpdate
0,A.J. Brown,PHI,CHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.8,65.7,0.5,0.5,115.0,2025-11-29 08:49:08 PM
1,AJ Barner,SEA,MIN,TE,0.0,0.0,0.0,0.0,0.0,0.8,1.1,0.08,4.0,3.2,31.93,0.34,0.42,81.0,2025-11-29 08:49:08 PM
2,Aaron Jones,MIN,SEA,RB,0.0,0.0,0.0,0.0,0.0,10.75,47.02,0.15,5.2,3.55,24.49,0.15,0.3,95.0,2025-11-29 08:49:08 PM
3,Aaron Rodgers,PIT,BUF,QB,31.19,20.0,211.29,1.37,0.75,1.28,3.22,0.02,0.0,0.0,0.0,0.0,0.02,80.0,2025-11-29 08:49:08 PM
4,Adam Prentice,DEN,WAS,RB,0.0,0.0,0.0,0.0,0.0,0.2,0.9,0.0,0.4,0.3,2.7,0.0,0.0,100.0,2025-11-29 08:49:08 PM
5,Adam Thielen,MIN,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,2.9,0.01,0.01,100.0,2025-11-29 08:49:08 PM
6,Adam Trautman,DEN,WAS,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.7,7.1,0.07,0.07,100.0,2025-11-29 08:49:08 PM
7,Adonai Mitchell,NYJ,ATL,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.93,42.76,0.35,0.35,78.0,2025-11-29 08:49:08 PM
8,Alec Ingold,MIA,NOR,RB,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.01,0.3,0.2,1.6,0.01,0.02,100.0,2025-11-29 08:49:08 PM
9,Alec Pierce,IND,HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,3.26,58.0,0.28,0.28,99.0,2025-11-29 08:49:08 PM
10,Allen Lazard,NYJ,ATL,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.84,9.45,0.08,0.08,100.0,2025-11-29 08:49:08 PM
11,Amar Johnson,LAC,LVR,RB,0.0,0.0,0.0,0.0,0.0,2.0,7.8,0.01,0.0,0.0,0.0,0.0,0.01,100.0,2025-11-29 08:49:08 PM
12,Ameer Abdullah,IND,HOU,RB,0.0,0.0,0.0,0.0,0.0,0.7,2.8,0.01,0.6,0.5,3.2,0.01,0.02,100.0,2025-11-29 08:49:08 PM
13,Amon-Ra St. Brown,DET,GB,WR,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,10.5,7.6,88.0,0.75,0.75,100.0,2025-11-29 08:49:08 PM
14,Andre Baccellia,ARZ,TB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,4.5,0.02,0.02,100.0,2025-11-29 08:49:08 PM
15,Andrei Iosivas,CIN,BAL,WR,0.0,0.0,0.0,0.0,0.0,0.3,1.4,0.0,4.7,2.9,35.5,0.21,0.21,77.0,2025-11-29 08:49:08 PM
16,Andrew Beck,NYJ,ATL,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,0.02,0.02,100.0,2025-11-29 08:49:08 PM
17,Andrew Ogletree,IND,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,2.5,0.03,0.03,100.0,2025-11-29 08:49:08 PM
18,Anthony Firkser,DET,GB,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.4,11.3,0.09,0.09,100.0,2025-11-29 08:49:08 PM
19,Anthony Gould,IND,HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,1.9,0.01,0.01,100.0,2025-11-29 08:49:08 PM
20,Arian Smith,NYJ,ATL,WR,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.7,0.4,4.1,0.03,0.03,100.0,2025-11-29 08:49:08 PM
21,Ashton Jeanty,LVR,LAC,RB,0.0,0.0,0.0,0.0,0.0,14.86,58.23,0.35,5.5,4.37,29.25,0.13,0.48,113.0,2025-11-29 08:49:08 PM
22,Audric Estimé,NOR,MIA,RB,0.0,0.0,0.0,0.0,0.0,2.4,8.3,0.05,0.2,0.2,1.2,0.0,0.05,100.0,2025-11-29 08:49:08 PM
