,Player,Team,Pos,Pass Comp,Pass Att,Pass Yards,Pass TD,Int,Rush Att,Rush Yards,Rush TD,Rec,Rec Yards,Rec TD
0,Joe Burrow,CIN,QB,388.33,563.33,4281.33,30.73,10.07,37.93,154.13,1.8,0.0,0.0,0.0
1,Dak Prescott,DAL,QB,357.33,537.0,3920.0,26.7,13.43,36.13,139.87,1.5,0.0,0.0,0.0
2,Patrick Mahomes,KAN,QB,352.67,532.67,3764.33,25.63,10.17,57.13,299.93,1.7,0.0,0.0,0.0
3,J.J. McCarthy,MIN,QB,338.33,523.0,3831.0,23.9,12.73,61.2,252.67,1.4,0.0,0.0,0.0
4,Trevor Lawrence,JAX,QB,335.67,512.0,3789.0,22.67,12.9,51.2,234.07,1.97,0.0,0.0,0.0
5,Jared Goff,DET,QB,344.0,505.0,3942.0,24.37,9.6,29.07,65.87,0.83,0.0,0.0,0.0
6,Geno Smith,LVR,QB,343.33,500.0,3708.33,19.7,10.07,45.67,189.93,1.53,0.0,0.0,0.0
7,Kyler Murray,ARZ,QB,330.33,496.0,3569.67,21.93,9.9,65.0,404.53,2.33,0.0,0.0,0.0
8,C.J. Stroud,HOU,QB,316.0,493.0,3744.0,21.27,9.77,48.2,239.73,1.6,0.0,0.0,0.0
9,Jayden Daniels,WAS,QB,326.67,488.67,3534.0,23.47,8.67,140.8,825.67,5.73,0.0,0.0,0.0
10,Caleb Williams,CHI,QB,309.67,488.67,3352.67,21.7,9.3,66.07,360.6,1.97,0.0,0.0,0.0
11,Baker Mayfield,TB,QB,328.33,488.33,3728.0,25.37,11.97,52.47,245.07,1.47,0.0,0.0,0.0
12,Jordan Love,GB,QB,314.33,488.0,3702.67,25.3,11.53,40.93,177.6,1.53,0.0,0.0,0.0
13,Bryce Young,CAR,QB,302.33,485.33,3141.0,20.33,9.67,51.93,291.87,1.67,0.0,0.0,0.0
14,Bo Nix,DEN,QB,317.0,485.0,3306.33,22.83,9.7,75.53,373.13,2.83,0.0,0.0,0.0
15,Tua Tagovailoa,MIA,QB,335.67,484.67,3586.0,21.87,10.27,25.53,68.2,0.5,0.0,0.0,0.0
16,Justin Herbert,LAC,QB,317.0,482.67,3611.33,21.73,8.07,61.53,250.13,2.03,0.0,0.0,0.0
17,Sam Darnold,SEA,QB,310.0,481.67,3463.0,20.2,10.6,49.6,204.13,1.4,0.0,0.0,0.0
18,Michael Penix Jr.,ATL,QB,307.33,479.33,3646.0,21.03,11.87,37.8,122.13,1.97,0.0,0.0,0.0
19,Cameron Ward,TEN,QB,300.33,476.33,3304.67,19.67,11.23,57.67,258.0,1.2,0.0,0.0,0.0
